valid_time,year,month,precip_3mo_raw,spi3_raw,precip_3mo_corrected,spi3_corrected
2037-03-01,2037,3,19.490831037950045,-2.3462929757016524,41.14120560998945,-1.5813058568577145
2037-04-01,2037,4,19.364601489004052,-3.4063710742900795,31.30007644486734,-2.7486398909855896
2037-05-01,2037,5,69.46504617207273,-1.4698537212505842,82.58530063847111,-1.1113015008583018
2037-06-01,2037,6,100.97731958958096,0.3109454865227437,97.35084773062746,0.23045273422821325
2037-07-01,2037,7,108.74194759535644,1.4946963083926914,95.39686772069204,1.2965897911961641
2037-08-01,2037,8,44.703553939206415,1.8854141927914925,17.30928291994135,0.7078255962562366
2037-09-01,2037,9,73.08001722833887,1.2238873677293338,273.7975286927653,3.8273927383043134
2037-10-01,2037,10,61.885814952429115,-0.6056113005905555,275.18908926004303,2.2486487143151455
2037-11-01,2037,11,84.0701649428479,-1.0227124362812239,311.4391516006788,1.6234886582767418
2037-12-01,2037,12,29.042625777569544,-2.697994324005952,51.89441545639106,-2.0023343793031403
2038-01-01,2038,1,44.05028860050797,-1.4360877835326957,85.9336570713777,-0.7630603108118217
2038-02-01,2038,2,26.259820927124643,-1.6720571063139227,58.49924183354706,-0.9871954070489778
2038-03-01,2038,3,45.29726065129846,-1.4721787151080628,82.36906231391166,-0.7262703115624739
2038-04-01,2038,4,48.10757451420842,-2.0912332297718352,62.757514800184545,-1.645717360626156
2038-05-01,2038,5,59.47356482665671,-1.7765775687828687,66.72230845446082,-1.5507471207931567
2038-06-01,2038,6,36.47148036898556,-1.615269574225469,31.233086534190182,-1.860931546225399
2038-07-01,2038,7,16.88592300521058,-0.6287243676280277,12.893045794654135,-0.8474441373504707
2038-08-01,2038,8,1.1620101720499822,-1.2111184549132463,0.11620101720499112,-2.165626929030516
2038-09-01,2038,9,6.0255042717113225,-1.3362325332674585,14.59145404727085,-0.6341495402374501
2038-10-01,2038,10,13.593133231376562,-2.434641846419049,34.03145937374793,-1.415624910877741
2038-11-01,2038,11,17.84582515570966,-3.0867043593527272,37.646857625579656,-2.1925512005494183
2038-12-01,2038,12,22.60153079057491,-2.9710531563458744,52.668218301861856,-1.9832768711734312
2039-01-01,2039,1,97.92087553561588,-0.6164904154313592,199.0223695480413,0.28972241285081185
2039-02-01,2039,2,115.28913047562092,-0.28200356874876903,239.63474201646247,0.6630822683044251
2039-03-01,2039,3,114.83841765993296,-0.2519559567136868,222.68465812878398,0.8592368402775771
2039-04-01,2039,4,72.42318047209918,-1.3915778768829528,113.31814811644001,-0.5242829083271168
2039-05-01,2039,5,60.5965800073793,-1.7403493999225403,74.82120301150276,-1.318172020907428
2039-06-01,2039,6,52.80593038151483,-0.9834665413342415,62.412456922130616,-0.6746392609277132
2039-07-01,2039,7,12.71723945570457,-0.858165347020885,6.023114920924258,-1.3907792382072777
2039-08-01,2039,8,2.9090308410741517,-0.7049490687544382,0.2909030841074147,-1.8244546652043927
2039-09-01,2039,9,14.439171980601072,-0.6434603243385099,41.94989886304229,0.46928339059983964
2039-10-01,2039,10,25.425734727422004,-1.7647007572158302,73.93427181389197,-0.3356944531276017
2039-11-01,2039,11,34.70887509869106,-2.29766821841189,84.52164270322997,-1.013997552272845
2039-12-01,2039,12,26.522788140731436,-2.798555688815515,58.518314910227936,-1.8455522712925652
2040-01-01,2040,1,53.8162838123933,-1.246676232824362,124.2634800814946,-0.33411214123763766
2040-02-01,2040,2,52.306789417447376,-1.0912765963247015,129.8550788834087,-0.14311769356507031
